Order
Mahesh Theekshana
Wayne Parnell
Wahab Riaz
Rayad Emrit
Fabian Allen
Mahesh Theekshana
Fabian Allen
Wahab Riaz
Rayad Emrit
Wayne Parnell
Sunil Narine
Ravi Rampaul
Imran Tahir
Zahoor Khan
Imran Tahir
Aaron Summers
Sunil Narine
Ravi Rampaul
Zahoor Khan
Kieron Pollard
Mujeeb Ur Rahman
Mohammed Irfan
Karim Janat
George Garton
Mujeeb Ur Rahman
George Garton
Fazalhaq Farooqi
Karim Janat
Mohammed Irfan
Fazalhaq Farooqi
Mohammed Amir
Nasir Hossain
Hardus Viljoen
Munis Ansari
Karan KC
Mohammed Amir
Hardus Viljoen
Munis Ansari
Nasir Hossain
Karan KC
Yamin Ahmadzai
Sompal Kami
Pravin Tambe
Sohag Gazi
Muktar Ali
Yamin Ahmadzai
Sompal Kami
Pravin Tambe
Sohag Gazi
Muktar Ali
Usman Shinwari
Naveen-ul-haq
Rohan Mustafa
Obed McCoy
Jamie Overton
Obed McCoy
Usman Shinwari
Rohan Mustafa
Naveen-ul-haq
Jamie Overton
Yamin Ahmadzai
Sompal Kami
Muktar Ali
Mossadek Hossain
Ishan Malhotra
Shohag Gazi
Yamin Ahmadzai
Ishan Malhotra
Sompal Kami
Muktar Ali
Usman Shinwari
Rohan Mustafa
Naveen-ul-haq
Obed McCoy
Jamie Overton
Naveen-ul-haq
Jamie Overton
Rohan Mustafa
Usman Shinwari
Obed McCoy
Wahab Riaz
Junaid Siddique
Rayad Emrit
Wahab Riaz
Dhananjaya Lakshan
Wayne Parnell
Rayad Emrit
Dhananjaya Lakshan
Wayne Parnell
Junaid Siddique
Mohammed Amir
Munis Ansari
Hardus Viljoen
Karan KC
Ahmed Raza
Nasir Hossain
Hardus Viljoen
Mohammed Amir
Munis Ansari
Karan KC
Wahab Riaz
Junaid Siddique
Wahab Riaz
Rayad Emrit
Fabian Allen
Wayne Parnell
Fabian Allen
Rayad Emrit
Wayne Parnell
Junaid Siddique
Sultan Ahmed
Sohail Tanvir
Shahid Afridi
Ahmed Daniyal
Shahid Afridi
Sultan Ahmed
Chris Jordan
Ahmed Daniyal
Chris Jordan
Azmatullah Omarzai
